0x42f540	EmitMoveChunkManagerRenderEntries	CMoverManager_GetViewData	CMoverManager::GetViewData
0x40e080	EmitDoorChunkRenderEntries	CDoorManager_GetViewData	CDoorManager::GetViewData
0x40e550	ServiceActiveDoorChunkObjects	CDoorManager_Process	CDoorManager::Process
0x42c4d0	RefreshActivePgunChunkObjects	CPaintGunManager_Process	CPaintGunManager::Process
0x427010	RefreshActiveRockChunkObjects	CRocketManager_Process	CRocketManager::Process
0x422420	ActivateCollChunkObjects	CCollectableManager_Restart	CCollectableManager::Restart
0x4206a0	Award300PointsMarkFlagAndEmitCallback	CEnemy_HitMine	CEnemy::HitMine
0x45d990	LoadListEntryPairFromBuffers	CResFONT_DirectResources	CResFONT::DirectResources
0x40dec0	ActivateDoorChunkObjectTrigger	CDoor_DoActivate	CDoor::DoActivate
0x4270b0	AppendRockChunkObject	CRocketManager_Add	CRocketManager::Add
0x410220	SetManagedEntityStateIdWithTimestamp	CPlayerLemming_Action	CPlayerLemming::Action
0x426fb0	DispatchRockChunkContactsForEntity	CRocketManager_StepOn	CRocketManager::StepOn
0x45d9f0	LoadListEntryPairFromStream	CResFONT_DirectResources	CResFONT::DirectResources
0x41ebe0	AppendManagedEntityGroupFromIds	CGenericGroupManager_CreateNewGroup	CGenericGroupManager::CreateNewGroup
0x40fcd0	DispatchObjectStateVariantCallback	CPlayerLemming_ExternalControlEnd	CPlayerLemming::ExternalControlEnd
0x40f4b0	IsDoorChunkObjectFacingTowardTargetTile	CPlayerLemming_FacingTarget	CPlayerLemming::FacingTarget
0x40f430	IsDoorChunkObjectFacingTowardQueueCursor	CPlayerLemming_FacingCursor	CPlayerLemming::FacingCursor
0x40e060	DestroyCDoorManagerObject	CDoorManager_~CDoorManager	CDoorManager::~CDoorManager
0x417ec0	DestroyCBulletManagerObject	CBulletManager_~CBulletManager	CBulletManager::~CBulletManager
0x426c00	DestroyCRocketManagerObject	CRocketManager_~CRocketManager	CRocketManager::~CRocketManager
0x42b090	DestroyCTrampolineManagerObject	CTrampolineManager_~CTrampolineManager	CTrampolineManager::~CTrampolineManager
0x42c120	DestroyCPaintGunManagerObject	CPaintGunManager_~CPaintGunManager	CPaintGunManager::~CPaintGunManager
0x418b20	ReformAlteredGroups	CPlayerLemmingGroupManager_ReformAlteredGroups	CPlayerLemmingGroupManager::ReformAlteredGroups
0x45dab0	ResFONTForceLoadVram	CResFONT_ForceLoadVram	CResFONT::ForceLoadVram
0x4147d0	RemoveLemmingFromGroup	CPlayerLemmingGroup_RemoveLemmingFromGroup	CPlayerLemmingGroup::RemoveLemmingFromGroup
0x414080	PlayerLemmingGroupEmitChildRenderEntries	CPlayerLemmingGroup_GetViewData	CPlayerLemmingGroup::GetViewData
0x420650	CEnemyFacingTarget	CEnemy_FacingTarget	CEnemy::FacingTarget
0x40b9e0	CSlinkyManagerAdd	CSlinkyManager_Add	CSlinkyManager::Add
0x420350	CEnemyTurnToFaceTarget	CEnemy_TurnToFaceTarget	CEnemy::TurnToFaceTarget
0x421b40	CBallSetHeightCorrect	CBall_SetHeightCorrect	CBall::SetHeightCorrect
0x41cf70	CTowerProcess	CTower_Process	CTower::Process
0x40b4d0	CSlinkySet	CSlinky_Set	CSlinky::Set
0x418540	DestroyCPlayerLemmingGroupManager	CPlayerLemmingGroupManager_~CPlayerLemmingGroupManager	CPlayerLemmingGroupManager::~CPlayerLemmingGroupManager
0x4131e0	CAISetNetworkTrapDoors	CAI_SetNetworkTrapDoors	CAI::SetNetworkTrapDoors
0x40f220	CPlayerLemmingTurnToFaceTarget	CPlayerLemming_TurnToFaceTarget	CPlayerLemming::TurnToFaceTarget
0x40f160	CPlayerLemmingTurnToFaceCursor	CPlayerLemming_TurnToFaceCursor	CPlayerLemming::TurnToFaceCursor
0x40b670	CSlinkyMove	CSlinky_Move	CSlinky::Move
0x412660	CAIProcessMsg	CAI_ProcessMsg	CAI::ProcessMsg
0x40f640	CPlayerLemmingGetData	CPlayerLemming_GetData	CPlayerLemming::GetData
0x40f6f0	CPlayerLemmingAddData	CPlayerLemming_AddData	CPlayerLemming::AddData
0x41a6d0	CBulletTriggerBullet	CBullet_TriggerBullet	CBullet::TriggerBullet
0x416130	CGameObjectJump	CGameObject_Jump	CGameObject::Jump
0x411b70	CAISendGameState	CAI_SendGameState	CAI::SendGameState
0x412ad0	CAIOpenDoor	CAI_OpenDoor	CAI::OpenDoor
0x41fcd0	CEnemyRestart	CEnemy_Restart	CEnemy::Restart
0x41aaa0	CBulletAddData	CBullet_AddData	CBullet::AddData
0x41ab80	CBulletGetData	CBullet_GetData	CBullet::GetData
0x4216c0	CBallSet	CBall_Set	CBall::Set
0x426840	CRocketSet	CRocket_Set	CRocket::Set
0x4269d0	CRocketStepOn	CRocket_StepOn	CRocket::StepOn
0x426a60	CRocketDoActivate	CRocket_DoActivate	CRocket::DoActivate
0x427630	CDuplicatorSet	CDuplicator_Set	CDuplicator::Set
0x4276f0	CDuplicatorDelete	CDuplicator_Delete	CDuplicator::Delete
0x4202a0	EnemyLineOfSight	CEnemy_LineOfSight	CEnemy::LineOfSight
0x40be50	CSlinkyManagerLoadLevel	CSlinkyManager_LoadLevel	CSlinkyManager::LoadLevel
0x422790	CCollectableManagerLoadLevel	CCollectableManager_LoadLevel	CCollectableManager::LoadLevel
0x42a4e0	CBalloonPostLoadLevel	CBalloonPost_LoadLevel	CBalloonPost::LoadLevel
0x42f680	CMoverManagerLoadLevel	CMoverManager_LoadLevel	CMoverManager::LoadLevel
0x436850	C2DRestart	C2D_Restart	C2D::Restart
0x4200f0	CEnemyEnemyActionPatrol	CEnemy_EnemyAction_PATROL	CEnemy::EnemyAction_PATROL
0x42e980	CMoverFindObjectsOnTopOfMe	CMover_FindObjectsOnTopOfMe	CMover::FindObjectsOnTopOfMe
0x45d8b0	CResFONT_AllocateResources	CResFONT_AllocateResources	CResFONT::AllocateResources
0x421ef0	CBallManager_Initialise	CBallManager_Initialise	CBallManager::Initialise
0x458d40	CVSOStream___ls	CVSOStream___ls	CVSOStream::__ls
0x427110	CRocketManagerLoadLevel	CRocketManager_LoadLevel	CRocketManager::LoadLevel
0x46aaf0	CBaseRemapMapRemap	CBaseRemap_MapRemap	CBaseRemap::MapRemap
