mac_address,symbol,windows_address
10104752,_OnSize__8CAnimWndFv,
10104782,OnSkip__8CAnimWndFi,447960
101047a0,OnFrame__8CAnimWndFi,447970
101047c0,OnStart__8CAnimWndFv,447980
101047e0,GetStyle__10CPVAnimWndFv,46e3f0
1010480a,IsFocusWindow__4CWndFv,4324d0
10104846,OnCreate__4CWndFv,4644f0
10104862,OnDestroy__4CWndFv,464500
10104880,OnSize__4CWndFv,464510
1010489a,OnMove__4CWndFv,43a4d0
101048b4,OnMinimise__4CWndFv,4324f0
101048d2,OnMaximise__4CWndFv,432500
101048f0,OnRestore__4CWndFv,43a4e0
1010490e,OnZoom__4CWndFi,43a4f0
10104928,OnZoomBox__4CWndFUc,43a500
10104946,Refresh__4CWndFP7CVSRect,4655f0
1010496a,GetMenu__6CPVWndFRiPPP11tagMenuList,43a4c0
1010499c,OnDriverChange__6CPVWndFv,466340
101049c0,GetSizeStatus__6CPVWndFv,4323b0
101049ec,SetSizeStatus__6CPVWndF13wndSizeStatus,4323c0
10104a28,AddChild__6CPVWndFP6CPVWnd,4323d0
10104aaa,RemoveChild__6CPVWndFP6CPVWnd,432430
10104b34,FindElement__38CList_6CPVWnd_21CListElement_6CPVWnd__FP6CPVWnd,
10104ba0,OnVisibilityChange__6CPVWndFv,465a70
10104bc8,SetDontUpdateRect__6CPVWndFRC7CVSRect,465a80
10104bfa,Resize__6CPVWndF7CVSSize,466360
10104c1e,CSurface__BlitZRLENoClipASM__FPUcPPUcss,
10104cd8,BlitZRLENoClip__8CSurfaceFRC7CVSRectP8CResZRLEUc,477130
10104d5a,CSurface__BlitZRLENoClipZBuffASM__FPUcPPUcPPUsssUs,
10104e4c,BlitZRLENoClipZBuff__8CSurfaceFRC7CVSRectP8CResZRLEUs,477200
10104ee6,CSurface__BlitZRLENoClipQZBuffASM__FPUcPPUcPPUsssUs,
10104fa6,BlitZRLENoClipQZBuff__8CSurfaceFRC7CVSRectP8CResZRLEUs,477440
10105040,CSurface__BlitZRLEClipASM__FPUcPPUcssss,
1010514a,CSurface__GetZRLEEndLine__FPUcs,
1010519e,BlitZRLEClip__8CSurfaceFRC7CVSRectRC7CVSRectP8CResZRLEUc,4766f0
10105250,CSurface__BlitZRLEClipZBuffASM__FPUcPPUcPPUsssssUs,
1010539e,BlitZRLEClipZBuff__8CSurfaceFRC7CVSRectRC7CVSRectP8CResZRLEUs,476910
10105468,CSurface__BlitZRLEClipQZBuffASM__FPUcPPUcPPUsssssUs,
10105606,BlitZRLEClipQZBuff__8CSurfaceFRC7CVSRectRC7CVSRectP8CResZRLEUs,476bf0
101056d0,FastMemCpy__Fv,
101057e2,InitFastMemCpy__Fv,
10105820,FastMemSet__Fv,
101058f0,InitFastMemSet__Fv,
1010592e,CSurface__2DMemSet__FPPUcUcsss,
101059a2,CSurface__2DMemCpy__FPPUcPPUcssss,
10105a16,CSurface__2DMemCpyScreen__FPUcPPUcssss,
10105a8e,CSurface__2DMemCpyScreen2__FPUcPPUcssss,
10105b48,Blit__8CSurfaceFP15CCopyToBackBuff,474dd0
10105be0,Blit__8CSurfaceFP21CCopyColourToBackBuff,474e60
10105c6c,CopyBackBuffToScreen__8CSurfaceFRC7CVSRect,474ee0
10105d8e,GetWorldWidth__20CPVScrollableSurfaceFv,46db30
10105dce,GetCurrDB__8CSurfaceFv,46dc80
10105df8,Flush__8CSurfaceFv,46dc50
10105e2a,KillSystemCursor__7CCursorFv,474be0
10105fa6,RestoreSystemCursor__7CCursorFv,474c00
10105fdc,InWindow__7CCursorFP5CGWnd,
10106028,__dt__7CCursorFv,46dad0
10106028,__dt__7CCursorFv,474bb0
10106076,RefreshPos__11CBaseCursorFv,46ba20
1010609c,__dt__17CBroadcastMessageFv,462810
101060f4,__dt__15CMessReqConnectFv,462830
10106156,__dt__11CBasePacketFv,4629e0
1010619c,__dt__11CBaseSocketFv,462900
101061ee,__dt__9CRWSocketFv,
10106290,__dt__17CTCPIPWriteSocketFv,471e80
1010633a,__dt__16CTCPIPReadSocketFv,471de0
101063e4,__dt__14CTCPIPRWSocketFv,471cd0
101065e2,__dt__17CFileCommonSocketFv,47b910
1010669c,__dt__15CFileReadSocketFv,47bda0
101067cc,__dt__10COpenCountFv,47b970
1010681e,__dt__13CFileRWSocketFv,47be50
10106a58,__dt__19CFileOpenManagementFv,47b9d0
10106d86,VSFNET_Init__Fv,46f3b0
10106dc8,VSFNET_Quit__Fv,46f480
10106e3e,Setup__14CFileBroadcastFPCcPCc,46f4f0
10106fca,__ct__12CFileNetworkFv,46f6b0
1010700c,Initialise__12CFileNetworkFv,46f6f0
1010707a,UnInitialise__12CFileNetworkFv,46f730
101070ac,ResetTimer__12CFileNetworkFUl,46f740
10107122,Setup__12CFileNetworkFPCcPCc,46f7a0
10107156,BeforeDestroyConnections__12CFileNetworkFv,46f7c0
101071ac,AfterDestroyConnections__12CFileNetworkFv,46f7d0
10107202,Process__12CFileNetworkFv,46f7e0
10107296,ForceProcess__12CFileNetworkFv,46f840
101072fc,__dt__19CBaseNetworkManagerFv,
10107356,AddData__13CPulseMessageFv,462af0
1010737c,GetData__13CPulseMessageFv,462b00
101073a2,__dt__13CPulseMessageFv,462b10
10107400,AddData__11CAckMessageFv,462b40
10107448,GetData__11CAckMessageFv,462b60
10107490,__dt__11CAckMessageFv,462b80
101074e2,SetPort__12CWriteSocketFs,462970
10107514,Closed__9CRWSocketFUc,
10107544,ReceiveAcknowledgement__9CRWSocketFv,
10107580,SendAcknowledgement__9CRWSocketFv,
101075ba,Closed__16CTCPIPReadSocketFUc,471e40
101075e2,SocketError__18CTCPIPCommonSocketFv,471ad0
10107624,AddData__13CPortsMessageFv,47b870
10107660,GetData__13CPortsMessageFv,47b880
1010769c,__dt__13CPortsMessageFv,47b890
101076fc,AddData__10COpenCountFv,47b950
10107730,GetData__10COpenCountFv,47b960
10107764,FirstReceive__11CReadSocketFv,462920
1010778c,PostRead__11CReadSocketF13NetworkEventsP11CBasePacket,462930
101077ce,CheckMessage__15CNetworkMessageFPCUc,40abd0
10107800,GetHeader__15CNetworkMessageFv,40abe0
1010782c,AddHeader__15CNetworkMessageFv,40abf0
10107856,GetLastError__12CNetworkFileFv,47b8d0
1010788a,GetFilename__12CNetworkFileFv,47b8e0
101078ba,Closed__15CFileReadSocketFUc,47be10
101078e2,SocketError__17CFileCommonSocketFv,47b8f0
10107920,GetNewNetworkAddress__12CFileNetworkFv,46f860
1010797a,GetNewConnect__12CFileNetworkFv,46f930
101079d8,GetNewBroadcast__12CFileNetworkFv,46f950
10107a3a,__dt__12CFileNetworkFv,46f970
10107a8e,WaitProcess__12CBaseNetworkFv,462ac0
10107ab6,_GDI_Init__Fv,46ba80
10107ca0,_GDI_Quit__Fv,46bb70
10107d0e,__ct__10CGDIDeviceFi,46bc00
10107dc4,__dt__10CGDIDeviceFv,46bc90
10107e48,FindFreeSurface__10CGDIDeviceFv,46bce0
10107e98,AllocateSurface__10CGDIDeviceFRC7CVSRectP8CSurface,46bd10
101080fa,FreeSurface__10CGDIDeviceFP8CSurface,46bed0
101081bc,Sync__10CGDIDeviceFv,46bf60
101081dc,FindSurface__10CGDIDeviceFP8CSurface,46bf70
1010823a,Flush__10CGDIDeviceFP8CSurface,46bfd0
1010830c,__ct__8CSurfaceFRC7CVSRectP8CSurface,46c050
1010858c,SetWindowPtr__8CSurfaceFP8GrafPort,46d7e0
101085c4,Initialise__8CSurfaceFv,
10108642,NewBitmap__8CSurfaceFRC7CVSRect,46d090
10108bf2,ResetScroll__8CSurfaceFv,46c990
10108c8a,SetLinePtrs__8CSurfaceFv,46c9f0
10108e58,SetDefaultCtable__8CSurfaceFv,46d930
10108fa4,AttachPalette__8CSurfaceFP11CResPALETTE,46d040
10109048,__ct__8CSurfaceFP8GrafPort,46c5d0
10109200,__dt__8CSurfaceFv,46c710
101093f4,FindElement__42CList_8CSurface_23CListElement_8CSurface__FP8CSurface,
10109466,AddToChangeList__8CSurfaceFRC7CVSRect,46cb20
1010956c,GetChangeList__8CSurfaceFv,46cbd0
1010959a,Blit__8CSurfaceFP9CClipRect,46cbe0
