id,start,end,function_count,code_bytes
text-207,0x004397A0,0x00439940,16,273
text-208,0x00439940,0x00439D90,16,919
text-209,0x00439D90,0x0043A4E0,16,884
text-210,0x0043A4E0,0x0043ACE0,15,1583
text-211,0x0043ACE0,0x0043B4B0,3,1794
text-212,0x0043B4B0,0x0043BDE0,3,1268
text-213,0x0043BDE0,0x0043C610,7,1933
text-214,0x0043C610,0x0043CAC0,8,1130
text-215,0x0043CAC0,0x0043CFA0,5,1091
text-216,0x0043CFA0,0x0043D420,5,1084
text-217,0x0043D420,0x0043D8D0,5,1095
text-218,0x0043D8D0,0x0043DF30,4,1361
text-219,0x0043DF30,0x0043ED20,2,3250
text-220,0x0043ED20,0x0043F620,3,1852
text-221,0x0043F620,0x0043FCE0,1,1711
text-222,0x0043FCE0,0x00440400,7,1775
text-223,0x00440400,0x00440840,6,1049
text-224,0x00440840,0x00442130,4,1165
text-225,0x00442130,0x004425E0,11,1100
text-226,0x004425E0,0x00442AC0,4,1048
text-227,0x00442AC0,0x00443140,7,1137
text-228,0x00443140,0x00443A20,16,779
text-229,0x00443A20,0x00444050,8,1473
text-230,0x00444050,0x00444680,1,1574
text-231,0x00444680,0x00444DA0,9,1177
text-232,0x00444DA0,0x00445790,13,1154
text-233,0x00445790,0x00445C10,4,1124
text-234,0x00445C10,0x00446050,4,1051
text-235,0x00446050,0x00446480,4,1038
text-236,0x00446480,0x00446990,11,1197
text-237,0x00446990,0x004471D0,16,424
text-238,0x004471D0,0x00447610,16,858
text-239,0x00447610,0x00447C50,12,1108
text-240,0x00447C50,0x00448300,14,1147
text-241,0x00448300,0x00448800,5,1033
text-242,0x00448800,0x00448EE0,7,1257
text-243,0x00448EE0,0x00449670,5,1512
text-244,0x00449670,0x00449D30,5,1695
text-245,0x00449D30,0x0044A250,8,1215
text-246,0x0044A250,0x0044AD60,14,1393
text-247,0x0044AD60,0x0044B340,3,1453
text-248,0x0044B340,0x0044BC50,13,1561
text-249,0x0044BC50,0x0044C330,12,1137
text-250,0x0044C330,0x0044C7C0,7,1101
text-251,0x0044C7C0,0x0044CC90,4,1190
text-252,0x0044CC90,0x0044D290,6,1193
text-253,0x0044D290,0x0044D830,2,1404
text-254,0x0044D830,0x0044DCE0,6,1089
text-255,0x0044DCE0,0x0044E8C0,7,1036
text-256,0x0044E8C0,0x0044ED20,10,1047
text-257,0x0044ED20,0x0044F3D0,11,1104
text-258,0x0044F3D0,0x0044F8C0,7,1083
text-259,0x0044F8C0,0x00450160,14,1241
text-260,0x00450160,0x00450770,2,1526
text-261,0x00450770,0x00450C10,10,1126
text-262,0x00450C10,0x00451550,13,1333
text-263,0x00451550,0x00451A70,5,1037
text-264,0x00451A70,0x00451F10,6,1141
text-265,0x00451F10,0x00452740,15,1045
text-266,0x00452740,0x00452BF0,9,1055
text-267,0x00452BF0,0x00453200,16,666
text-268,0x00453200,0x00453690,7,1092
text-269,0x00453690,0x00454050,4,2487
text-270,0x00454050,0x004545C0,3,1095
text-271,0x004545C0,0x00454AD0,8,1234
text-272,0x00454AD0,0x00454F00,8,1026
text-273,0x00454F00,0x00455360,10,1062
text-274,0x00455360,0x004564C0,14,1530
text-275,0x004564C0,0x00456AE0,15,1030
text-276,0x00456AE0,0x00457020,14,1254
text-277,0x00457020,0x004576E0,11,1627
text-278,0x004576E0,0x00457C50,9,1336
text-279,0x00457C50,0x00458180,7,1085
text-280,0x00458180,0x00458350,16,322
text-281,0x00458350,0x00458670,16,684
text-282,0x00458670,0x004590B0,12,1066
text-283,0x004590B0,0x00459520,4,1098
text-284,0x00459520,0x00459970,4,1063
text-285,0x00459970,0x00459D70,16,833
text-286,0x00459D70,0x0045A340,9,1228
text-287,0x0045A340,0x0045A630,16,585
text-288,0x0045A630,0x0045AAF0,16,841
text-289,0x0045AAF0,0x0045AF60,13,1078
text-290,0x0045AF60,0x0045B3F0,14,1024
text-291,0x0045B3F0,0x0045BA50,15,1189
text-292,0x0045BA50,0x0045BFA0,10,1024
text-293,0x0045BFA0,0x0045C770,7,1257
text-294,0x0045C770,0x0045CD60,8,1081
text-295,0x0045CD60,0x0045D220,15,1078
text-296,0x0045D220,0x0045D6A0,9,1104
text-297,0x0045D6A0,0x0045DB20,15,1056
text-298,0x0045DB20,0x0045E0C0,12,1034
text-299,0x0045E0C0,0x0045E5E0,16,856
text-300,0x0045E5E0,0x0045E6F0,16,110
text-301,0x0045E6F0,0x0045E930,16,482
text-302,0x0045E930,0x0045EBA0,16,485
text-303,0x0045EBA0,0x0045EF10,16,760
text-304,0x0045EF10,0x0045F160,16,467
text-305,0x0045F160,0x0045F540,16,778
text-306,0x0045F540,0x0045F8A0,16,751
text-307,0x0045F8A0,0x0045FD80,12,1139
text-308,0x0045FD80,0x004601E0,11,1034
text-309,0x004601E0,0x00460610,7,1040
text-310,0x00460610,0x00460A90,10,1063
text-311,0x00460A90,0x00460F00,8,1090
text-312,0x00460F00,0x00461340,16,994
text-313,0x00461340,0x004617A0,12,1029
text-314,0x004617A0,0x00461DB0,11,1493
text-315,0x00461DB0,0x00462280,8,1165
text-316,0x00462280,0x004627B0,11,1037
text-317,0x004627B0,0x004629D0,16,448
text-318,0x004629D0,0x00462BB0,16,306
text-319,0x00462BB0,0x00462D20,16,289
text-320,0x00462D20,0x00462E50,16,210
text-321,0x00462E50,0x00463120,16,516
text-322,0x00463120,0x004636E0,9,1092
text-323,0x004636E0,0x00463BD0,8,1121
text-324,0x00463BD0,0x00464190,8,1428
text-325,0x00464190,0x00464F10,10,2966
text-326,0x00464F10,0x004654F0,6,1476
text-327,0x004654F0,0x00465A00,10,1205
text-328,0x00465A00,0x00465F80,16,1269
text-329,0x00465F80,0x00466430,16,1080
text-330,0x00466430,0x004668D0,15,1084
text-331,0x004668D0,0x00466CE0,16,868
text-332,0x00466CE0,0x00467170,12,1061
text-333,0x00467170,0x004675D0,10,1033
text-334,0x004675D0,0x00467BA0,10,1099
text-335,0x00467BA0,0x00468000,14,1038
text-336,0x00468000,0x004686E0,12,1218
text-337,0x004686E0,0x00468C10,8,1061
text-338,0x00468C10,0x00469070,8,1067
text-339,0x00469070,0x00469530,7,1159
