code_file,name_length_offset,name_offset,symbol_flags,mangled_name
CODE_01_Visos (Mac Specific).bin,0x0000238B,0x0000238C,0x00,InArea__15CHotAreaHandlerFRC8CVSPoint
CODE_01_Visos (Mac Specific).bin,0x00002400,0x00002401,0x80,__dt__14CPVMusicDeviceFv
CODE_01_Visos (Mac Specific).bin,0x00002425,0x00002426,0x00,Initialise__14CPVMusicDeviceFUlUl
CODE_01_Visos (Mac Specific).bin,0x0000245A,0x0000245B,0x80,SetVolume__14CPVMusicDeviceFUc
CODE_01_Visos (Mac Specific).bin,0x0000248A,0x0000248B,0x80,GetVolume__14CPVMusicDeviceFv
CODE_01_Visos (Mac Specific).bin,0x000024B2,0x000024B3,0x80,Process__14CPVMusicDeviceFv
CODE_01_Visos (Mac Specific).bin,0x000024DA,0x000024DB,0x80,GetInfo__14CPVMusicDeviceFv
CODE_01_Visos (Mac Specific).bin,0x00002501,0x00002502,0x00,SetWnd__16CBaseSoundDeviceFP4CWnd
CODE_01_Visos (Mac Specific).bin,0x00002770,0x00002771,0x80,__ct__8CMacWaveFP6VSWAVEUcPc
CODE_01_Visos (Mac Specific).bin,0x000027CE,0x000027CF,0x80,__dt__8CMacWaveFv
CODE_01_Visos (Mac Specific).bin,0x00002A06,0x00002A07,0x80,__ct__12CMacSoundDevFUcUcUli
CODE_01_Visos (Mac Specific).bin,0x00002AAC,0x00002AAD,0x80,__dt__12CMacSoundDevFv
CODE_01_Visos (Mac Specific).bin,0x00002AD6,0x00002AD7,0x80,GetDeviceInfo__12CMacSoundDevFv
CODE_01_Visos (Mac Specific).bin,0x00002BD3,0x00002BD4,0x00,Initialise__12CMacSoundDevFUcUcUl
CODE_01_Visos (Mac Specific).bin,0x00002C03,0x00002C04,0x00,Reinitialise__12CMacSoundDevFUcUcUl
CODE_01_Visos (Mac Specific).bin,0x00002C3A,0x00002C3B,0x80,Detect__12CMacSoundDevFv
CODE_01_Visos (Mac Specific).bin,0x00002CD4,0x00002CD5,0x80,ShutDown__12CMacSoundDevFv
CODE_01_Visos (Mac Specific).bin,0x00002D03,0x00002D04,0x00,HasActiveVoices__12CMacSoundDevFv
CODE_01_Visos (Mac Specific).bin,0x00002D32,0x00002D33,0x80,StopAllMusic__12CMacSoundDevFv
